"","APMC","Commodity","Type"
"1053","jalna-badnapur","green gram","Multiplicative"
"1054","partur","green gram","Multiplicative"
"1055","ghansawangi","green gram","Multiplicative"
"1056","kolhapur-laxmipuri","green gram","Multiplicative"
"1057","ausa","green gram","Multiplicative"
"1058","latur","green gram","Multiplicative"
"1059","udgir","green gram","Multiplicative"
"1060","ahmedpur","green gram","Multiplicative"
"1061","jalkot","green gram","Multiplicative"
"1062","nilanga","green gram","Multiplicative"
"1063","mumbai","green gram","Multiplicative"
"1064","nagpur","green gram","Multiplicative"
"1065","umared","green gram","Multiplicative"
"1066","bhokar","green gram","Multiplicative"
"1067","loha","green gram","Multiplicative"
"1068","nanded","green gram","Multiplicative"
"1069","deglur","green gram","Multiplicative"
"1070","naigaon","green gram","Multiplicative"
"1071","dharmabad","green gram","Multiplicative"
"1072","nandurbar","green gram","Multiplicative"
"1073","shahada","green gram","Multiplicative"
"1074","devala","green gram","Multiplicative"
"1075","kalvan","green gram","Multiplicative"
"1076","lasalgaon","green gram","Multiplicative"
"1077","malegaon","green gram","Multiplicative"
"1078","manmad","green gram","Multiplicative"
"1079","nandgaon","green gram","Multiplicative"
"1080","sinner","green gram","Multiplicative"
"1081","yeola","green gram","Multiplicative"
"1082","satana","green gram","Multiplicative"
"1083","kalamb (os)","green gram","Multiplicative"
"1084","murum","green gram","Multiplicative"
"1085","tuljapur","green gram","Multiplicative"
"1086","umarga","green gram","Multiplicative"
"1087","osmanabad","green gram","Multiplicative"
"1088","jintur","green gram","Multiplicative"
"1089","jintur-bori","green gram","Multiplicative"
"1090","parbhani","green gram","Multiplicative"
"1091","sailu","green gram","Multiplicative"
"1092","sonpeth","green gram","Multiplicative"
"1093","purna","green gram","Multiplicative"
"1094","pathari","green gram","Multiplicative"
"1095","tadkalas","green gram","Multiplicative"
"1096","dound","green gram","Multiplicative"
"1097","pune","green gram","Multiplicative"
"1098","shirur","green gram","Multiplicative"
"1099","baramati","green gram","Multiplicative"
"1100","indapur","green gram","Multiplicative"
"1101","indapur-bhigwan","green gram","Multiplicative"
"1102","sangali","green gram","Multiplicative"
"1103","koregaon","green gram","Multiplicative"
"1104","vaduj","green gram","Multiplicative"
"1105","akkolkot","green gram","Multiplicative"
"1106","barshi","green gram","Multiplicative"
"1107","dudhani","green gram","Multiplicative"
"1108","solapur","green gram","Multiplicative"
"1109","barshi-vairag","green gram","Multiplicative"
"1110","mangalwedha","green gram","Multiplicative"
"1111","kurdwadi","green gram","Multiplicative"
"1112","karanja","green gram","Multiplicative"
"1113","mangrulpeer","green gram","Multiplicative"
"1114","washim","green gram","Multiplicative"
"1115","pusad","green gram","Multiplicative"
"1116","ner parasopant","green gram","Multiplicative"
"1117","yeotmal","green gram","Multiplicative"
"1118","rahata","green peas (dry)","Multiplicative"
"1119","kolhapur-laxmipuri","green peas (dry)","Multiplicative"
"1120","mumbai","green peas (dry)","Multiplicative"
"1121","pune","green peas (dry)","Multiplicative"
"1122","solapur","green peas (dry)","Multiplicative"
"1123","rahata","ground nut pods (dry)","Multiplicative"
"1124","rahuri-vambori","ground nut pods (dry)","Multiplicative"
"1125","shrirampur","ground nut pods (dry)","Multiplicative"
"1126","amarawati","ground nut pods (dry)","Multiplicative"
"1127","vaijapur","ground nut pods (dry)","Multiplicative"
"1128","majalgaon","ground nut pods (dry)","Multiplicative"
"1129","parli-vaijnath","ground nut pods (dry)","Multiplicative"
"1130","gevrai","ground nut pods (dry)","Multiplicative"
"1131","jalgaon jamod","ground nut pods (dry)","Multiplicative"
"1132","jalgaon jamod-aasalgaon","ground nut pods (dry)","Multiplicative"
"1133","khamgaon","ground nut pods (dry)","Multiplicative"
"1134","dhule","ground nut pods (dry)","Multiplicative"
"1135","dondaicha","ground nut pods (dry)","Multiplicative"
"1136","sakri","ground nut pods (dry)","Multiplicative"
"1137","shirpur","ground nut pods (dry)","Multiplicative"
"1138","basmat","ground nut pods (dry)","Multiplicative"
"1139","hingoli","ground nut pods (dry)","Multiplicative"
"1140","kalamnuri","ground nut pods (dry)","Multiplicative"
"1141","akhadabalapur","ground nut pods (dry)","Multiplicative"
"1142","chalisgaon","ground nut pods (dry)","Multiplicative"
"1143","chopda","ground nut pods (dry)","Multiplicative"
"1144","ausa","ground nut pods (dry)","Multiplicative"
"1145","ahmedpur","ground nut pods (dry)","Multiplicative"
"1146","jalkot","ground nut pods (dry)","Multiplicative"
"1147","katol","ground nut pods (dry)","Multiplicative"
"1148","nagpur","ground nut pods (dry)","Multiplicative"
"1149","savner","ground nut pods (dry)","Multiplicative"
"1150","loha","ground nut pods (dry)","Multiplicative"
"1151","bhokar","ground nut pods (dry)","Multiplicative"
"1152","kinwat","ground nut pods (dry)","Multiplicative"
"1153","nandurbar","ground nut pods (dry)","Multiplicative"
"1154","malegaon","ground nut pods (dry)","Multiplicative"
"1155","nashik","ground nut pods (dry)","Multiplicative"
"1156","sinner","ground nut pods (dry)","Multiplicative"
"1157","kalvan","ground nut pods (dry)","Multiplicative"
"1158","lasalgaon","ground nut pods (dry)","Multiplicative"
"1159","nandgaon","ground nut pods (dry)","Multiplicative"
"1160","kalamb (os)","ground nut pods (dry)","Multiplicative"
"1161","osmanabad","ground nut pods (dry)","Multiplicative"
"1162","umarga","ground nut pods (dry)","Multiplicative"
"1163","purna","ground nut pods (dry)","Multiplicative"
"1164","jintur","ground nut pods (dry)","Multiplicative"
"1165","tadkalas","ground nut pods (dry)","Multiplicative"
"1166","baramati","ground nut pods (dry)","Multiplicative"
"1167","indapur-bhigwan","ground nut pods (dry)","Multiplicative"
"1168","shirur","ground nut pods (dry)","Multiplicative"
"1169","indapur","ground nut pods (dry)","Multiplicative"
"1170","ratanagari","ground nut pods (dry)","Multiplicative"
"1171","satara","ground nut pods (dry)","Multiplicative"
"1172","barshi","ground nut pods (dry)","Multiplicative"
"1173","barshi-vairag","ground nut pods (dry)","Multiplicative"
"1174","solapur","ground nut pods (dry)","Multiplicative"
"1175","akluj","ground nut pods (dry)","Multiplicative"
"1176","karmala","ground nut pods (dry)","Multiplicative"
"1177","karanja","ground nut pods (dry)","Multiplicative"
"1178","aarni","ground nut pods (dry)","Multiplicative"
"1179","darwha","ground nut pods (dry)","Multiplicative"
"1180","umarkhed-danki","ground nut pods (dry)","Multiplicative"
"1181","pandharkawada","ground nut pods (dry)","Multiplicative"
"1182","yeotmal","ground nut pods (dry)","Multiplicative"
"1183","aurangabad","guava","Multiplicative"
"1184","jalgaon","guava","Multiplicative"
"1185","mumbai","guava","Multiplicative"
"1186","kamthi","guava","Multiplicative"
"1187","nashik","guava","Multiplicative"
"1188","pune-manjri","guava","Multiplicative"
"1189","solapur","guava","Multiplicative"
"1190","kalyan","guava","Multiplicative"
"1191","pune","gulchadi","Multiplicative"
"1192","pune-manjri","harbara(pendi)","Multiplicative"
"1193","pune-manjri","hemp","Multiplicative"
"1194","solapur","hemp","Multiplicative"
"1195","ahmedpur","hemp-seed","Multiplicative"
"1196","rahuri-vambori","horse gram","Multiplicative"
"1197","ahmednagar","horse gram","Multiplicative"
"1198","sangamner","horse gram","Multiplicative"
"1199","dhule","horse gram","Multiplicative"
"1200","sakri","horse gram","Multiplicative"
"1201","jalna","horse gram","Multiplicative"
"1202","mumbai","horse gram","Multiplicative"
"1203","devala","horse gram","Multiplicative"
"1204","malegaon","horse gram","Multiplicative"
"1205","nandgaon","horse gram","Multiplicative"
"1206","sinner","horse gram","Multiplicative"
"1207","satana","horse gram","Multiplicative"
"1208","indapur-bhigwan","horse gram","Multiplicative"
"1209","mangalwedha","horse gram","Multiplicative"
"1210","shirur","indian bean","Multiplicative"
"1211","tumsar","jaggery","Multiplicative"
"1212","jalgaon","jaggery","Multiplicative"
"1213","jalna","jaggery","Multiplicative"
"1214","gadhinglaj","jaggery","Multiplicative"
"1215","kolhapur","jaggery","Multiplicative"
"1216","ausa","jaggery","Multiplicative"
"1217","mumbai","jaggery","Multiplicative"
"1218","kalamb (os)","jaggery","Multiplicative"
"1219","jintur","jaggery","Multiplicative"
"1220","baramati","jaggery","Multiplicative"
"1221","nira","jaggery","Multiplicative"
"1222","pune","jaggery","Multiplicative"
"1223","sangali","jaggery","Multiplicative"
"1224","karad","jaggery","Multiplicative"
"1225","phaltan","jaggery","Multiplicative"
"1226","barshi","jaggery","Multiplicative"
"1227","pune","jui","Multiplicative"
"1228","pune","kagda","Multiplicative"
"1229","vadgaon peth","kanda pat","Multiplicative"
"1230","kamthi","kanda pat","Multiplicative"
"1231","nashik","kanda pat","Multiplicative"
"1232","manchar","kanda pat","Multiplicative"
"1233","pune-manjri","kanda pat","Multiplicative"
"1234","barshi","kanda pat","Multiplicative"
"1235","pune-manjri","kardai","Multiplicative"
"1236","aurangabad","kharbuj","Multiplicative"
"1237","chandrapur","kharbuj","Multiplicative"
"1238","barshi","kharbuj","Multiplicative"
"1239","rahata","ladies finger","Multiplicative"
"1240","shrirampur","ladies finger","Multiplicative"
"1241","aurangabad","ladies finger","Multiplicative"
"1242","chandrapur-ganjwad","ladies finger","Multiplicative"
"1243","jalgaon","ladies finger","Multiplicative"
"1244","vadgaon peth","ladies finger","Multiplicative"
"1245","mumbai","ladies finger","Multiplicative"
"1246","kalmeshwar","ladies finger","Multiplicative"
"1247","kamthi","ladies finger","Multiplicative"
"1248","nagpur","ladies finger","Multiplicative"
"1249","ramtek","ladies finger","Multiplicative"
"1250","ghoti","ladies finger","Multiplicative"
"1251","nashik","ladies finger","Multiplicative"
"1252","osmanabad","ladies finger","Multiplicative"
"1253","pune","ladies finger","Multiplicative"
"1254","pune-manjri","ladies finger","Multiplicative"
"1255","pune-pimpri","ladies finger","Multiplicative"
"1256","khed","ladies finger","Multiplicative"
"1257","khed (shel pimpalgaon)","ladies finger","Multiplicative"
"1258","manchar","ladies finger","Multiplicative"
"1259","ratanagari","ladies finger","Multiplicative"
"1260","vita","ladies finger","Multiplicative"
"1261","karad","ladies finger","Multiplicative"
"1262","patan","ladies finger","Multiplicative"
"1263","satara","ladies finger","Multiplicative"
"1264","vai","ladies finger","Multiplicative"
"1265","akluj","ladies finger","Multiplicative"
"1266","barshi","ladies finger","Multiplicative"
"1267","mangalwedha","ladies finger","Multiplicative"
"1268","pandharpur","ladies finger","Multiplicative"
"1269","solapur","ladies finger","Multiplicative"
"1270","kalyan","ladies finger","Multiplicative"
"1271","murbad","ladies finger","Multiplicative"
"1272","shahapur","ladies finger","Multiplicative"
"1273","umared","lang","Multiplicative"
"1274","kamthi","leafy vegetable","Multiplicative"
"1275","rahata","lemon","Multiplicative"
"1276","shrirampur","lemon","Multiplicative"
"1277","aurangabad","lemon","Multiplicative"
"1278","khamgaon","lemon","Multiplicative"
"1279","jalgaon","lemon","Multiplicative"
"1280","kamthi","lemon","Multiplicative"
"1281","nagpur","lemon","Multiplicative"
"1282","nashik","lemon","Multiplicative"
"1283","osmanabad","lemon","Multiplicative"
"1284","barshi","lemon","Multiplicative"
"1285","kurdwadi","lemon","Multiplicative"
"1286","solapur","lemon","Multiplicative"
"1287","achalpur","lentil","Multiplicative"
"1288","tumsar","lentil","Multiplicative"
"1289","kolhapur-laxmipuri","lentil","Multiplicative"
"1290","mumbai","lentil","Multiplicative"
"1291","umared","lentil","Multiplicative"
"1292","pune","lentil","Multiplicative"
"1293","sangali","lentil","Multiplicative"
"1294","tumsar","linseed","Multiplicative"
"1295","umared","linseed","Multiplicative"
"1296","kopargaon","maize","Multiplicative"
"1297","newasa","maize","Multiplicative"
"1298","rahata","maize","Multiplicative"
"1299","rahuri","maize","Multiplicative"
"1300","rahuri-vambori","maize","Multiplicative"
"1301","sangamner","maize","Multiplicative"
"1302","shevgaon-bodhegaon","maize","Multiplicative"
"1303","shrirampur","maize","Multiplicative"
"1304","ahmednagar","maize","Multiplicative"
"1305","akole","maize","Multiplicative"
"1306","shevgaon","maize","Multiplicative"
"1307","achalpur","maize","Multiplicative"
"1308","amarawati","maize","Multiplicative"
"1309","varud-rajura bazar","maize","Multiplicative"
"1310","aurangabad","maize","Multiplicative"
"1311","fulambri","maize","Multiplicative"
"1312","gangapur","maize","Multiplicative"
"1313","kannad","maize","Multiplicative"
"1314","khultabad","maize","Multiplicative"
"1315","vaijapur","maize","Multiplicative"
"1316","lasur station","maize","Multiplicative"
"1317","sillod","maize","Multiplicative"
"1318","sillod-bharadi","maize","Multiplicative"
"1319","ambejogai","maize","Multiplicative"
"1320","beed","maize","Multiplicative"
"1321","gevrai","maize","Multiplicative"
"1322","kada","maize","Multiplicative"
"1323","parli-vaijnath","maize","Multiplicative"
"1324","kada (ashti)","maize","Multiplicative"
"1325","kej","maize","Multiplicative"
"1326","kille dharur","maize","Multiplicative"
"1327","chikhali","maize","Multiplicative"
"1328","jalgaon jamod","maize","Multiplicative"
"1329","jalgaon jamod-aasalgaon","maize","Multiplicative"
"1330","khamgaon","maize","Multiplicative"
"1331","lonar","maize","Multiplicative"
"1332","malkapur","maize","Multiplicative"
"1333","mehkar","maize","Multiplicative"
"1334","nandura","maize","Multiplicative"
"1335","sangrampur","maize","Multiplicative"
"1336","shegaon","maize","Multiplicative"
"1337","dhule","maize","Multiplicative"
"1338","dondaicha","maize","Multiplicative"
"1339","sakri","maize","Multiplicative"
"1340","shirpur","maize","Multiplicative"
"1341","aheri","maize","Multiplicative"
"1342","bhusaval","maize","Multiplicative"
"1343","chalisgaon","maize","Multiplicative"
"1344","chopda","maize","Multiplicative"
"1345","jalgaon","maize","Multiplicative"
"1346","raver","maize","Multiplicative"
"1347","amalner","maize","Multiplicative"
"1348","yawal","maize","Multiplicative"
"1349","ambad(vadi godri)","maize","Multiplicative"
"1350","bhokardan","maize","Multiplicative"
"1351","bhokardan-pimpalgaon renu","maize","Multiplicative"
"1352","jafrabad","maize","Multiplicative"
"1353","jalna","maize","Multiplicative"
"1354","jalna-badnapur","maize","Multiplicative"
"1355","kolhapur-laxmipuri","maize","Multiplicative"
"1356","ausa","maize","Multiplicative"
"1357","latur","maize","Multiplicative"
"1358","ahmedpur","maize","Multiplicative"
"1359","savner","maize","Multiplicative"
"1360","nandurbar","maize","Multiplicative"
"1361","navapur","maize","Multiplicative"
"1362","shahada","maize","Multiplicative"
"1363","taloda","maize","Multiplicative"
"1364","devala","maize","Multiplicative"
"1365","kalvan","maize","Multiplicative"
"1366","lasalgaon","maize","Multiplicative"
"1367","malegaon","maize","Multiplicative"
"1368","manmad","maize","Multiplicative"
"1369","nandgaon","maize","Multiplicative"
"1370","satana","maize","Multiplicative"
"1371","sinner","maize","Multiplicative"
"1372","yeola","maize","Multiplicative"
"1373","kalamb (os)","maize","Multiplicative"
"1374","umarga","maize","Multiplicative"
"1375","murum","maize","Multiplicative"
"1376","tuljapur","maize","Multiplicative"
"1377","baramati","maize","Multiplicative"
"1378","dound","maize","Multiplicative"
"1379","indapur","maize","Multiplicative"
"1380","indapur-bhigwan","maize","Multiplicative"
"1381","pune","maize","Multiplicative"
"1382","shirur","maize","Multiplicative"
"1383","shirala","maize","Multiplicative"
"1384","tasgaon","maize","Multiplicative"
"1385","sangali","maize","Multiplicative"
"1386","lonand","maize","Multiplicative"
"1387","phaltan","maize","Multiplicative"
"1388","vaduj","maize","Multiplicative"
"1389","akluj","maize","Multiplicative"
"1390","barshi","maize","Multiplicative"
"1391","barshi-vairag","maize","Multiplicative"
"1392","dudhani","maize","Multiplicative"
"1393","kurdwadi","maize","Multiplicative"
"1394","mangalwedha","maize","Multiplicative"
"1395","mohol","maize","Multiplicative"
"1396","pandharpur","maize","Multiplicative"
"1397","karmala","maize","Multiplicative"
"1398","akkolkot","maize","Multiplicative"
"1399","solapur","maize","Multiplicative"
"1400","washim","maize","Multiplicative"
"1401","pusad","maize","Multiplicative"
"1402","aurangabad","maize(corn.)","Multiplicative"
"1403","jalgaon","maize(corn.)","Multiplicative"
"1404","manchar","maize(corn.)","Multiplicative"
"1405","ratanagari","maize(corn.)","Multiplicative"
"1406","khamgaon","male goat","Multiplicative"
"1407","bhivandi","male goat","Multiplicative"
"1408","pune","mango(raw)","Multiplicative"
"1409","amarawati","math (bhaji)","Multiplicative"
"1410","aurangabad","math (bhaji)","Multiplicative"
"1411","chandrapur-ganjwad","math (bhaji)","Multiplicative"
"1412","vadgaon peth","math (bhaji)","Multiplicative"
"1413","nagpur","math (bhaji)","Multiplicative"
"1414","junnar (narayangaon)","math (bhaji)","Multiplicative"
"1415","pune","math (bhaji)","Multiplicative"
"1416","ratanagari","math (bhaji)","Multiplicative"
"1417","pandharpur","math (bhaji)","Multiplicative"
"1418","sangamner","matki","Multiplicative"
"1419","ahmednagar","matki","Multiplicative"
"1420","gevrai","matki","Multiplicative"
"1421","dhule","matki","Multiplicative"
"1422","dondaicha","matki","Multiplicative"
"1423","shirpur","matki","Multiplicative"
"1424","sakri","matki","Multiplicative"
"1425","aheri","matki","Multiplicative"
"1426","sinner","matki","Multiplicative"
"1427","devala","matki","Multiplicative"
"1428","malegaon","matki","Multiplicative"
"1429","indapur-bhigwan","matki","Multiplicative"
"1430","sangali","matki","Multiplicative"
"1431","barshi","matki","Multiplicative"
"1432","mangalwedha","matki","Multiplicative"
"1433","solapur","matki","Multiplicative"
"1434","aurangabad","melon","Multiplicative"
"1435","jalgaon","melon","Multiplicative"
"1436","mumbai","melon","Multiplicative"
"1437","jalgaon","methi (bhaji)","Multiplicative"
"1438","vadgaon peth","methi (bhaji)","Multiplicative"
"1439","kalmeshwar","methi (bhaji)","Multiplicative"
"1440","kamthi","methi (bhaji)","Multiplicative"
"1441","nashik","methi (bhaji)","Multiplicative"
"1442","manchar","methi (bhaji)","Multiplicative"
"1443","pune-manjri","methi (bhaji)","Multiplicative"
"1444","khed (shel pimpalgaon)","methi (bhaji)","Multiplicative"
"1445","barshi","methi (bhaji)","Multiplicative"
"1446","solapur","methi (bhaji)","Multiplicative"
"1447","kamthi","mint","Multiplicative"
"1448","nashik","mint","Multiplicative"
"1449","pune-manjri","mint","Multiplicative"
"1450","shrirampur","mosambi","Multiplicative"
"1451","amarawati","mosambi","Multiplicative"
"1452","varud","mosambi","Multiplicative"
"1453","aurangabad","mosambi","Multiplicative"
"1454","chandrapur","mosambi","Multiplicative"
"1455","jalgaon","mosambi","Multiplicative"
"1456","jalna","mosambi","Multiplicative"
"1457","mumbai","mosambi","Multiplicative"
"1458","kamthi","mosambi","Multiplicative"
"1459","nagpur","mosambi","Multiplicative"
"1460","nashik","mosambi","Multiplicative"
"1461","barshi","mosambi","Multiplicative"
"1462","chandrapur-ganjwad","mula shenga","Multiplicative"
"1463","solapur","mula shenga","Multiplicative"
"1464","vaijapur","mustard","Multiplicative"
"1465","shegaon","mustard","Multiplicative"
"1466","jalna","mustard","Multiplicative"
"1467","mantha","mustard","Multiplicative"
"1468","ausa","mustard","Multiplicative"
"1469","umared","mustard","Multiplicative"
"1470","jintur","mustard","Multiplicative"
"1471","sonpeth","mustard","Multiplicative"
"1472","barshi","mustard","Multiplicative"
"1473","washim","mustard","Multiplicative"
"1474","mangaon(bhadav)","nachani","Multiplicative"
"1475","mangaon(bhadav)","nagali","Multiplicative"
"1476","chandrapur","naspatti","Multiplicative"
"1477","ausa","niger-seed","Multiplicative"
"1478","ahmedpur","niger-seed","Multiplicative"
"1479","umarga","niger-seed","Multiplicative"
"1480","akole","onion","Multiplicative"
"1481","jamkhed","onion","Multiplicative"
"1482","kopargaon","onion","Multiplicative"
"1483","newasa-ghodegaon","onion","Multiplicative"
"1484","parner","onion","Multiplicative"
"1485","pathardi","onion","Multiplicative"
"1486","rahata","onion","Multiplicative"
"1487","rahuri","onion","Multiplicative"
"1488","rahuri-vambori","onion","Multiplicative"
"1489","sangamner","onion","Multiplicative"
"1490","shrirampur","onion","Multiplicative"
"1491","ahmednagar","onion","Multiplicative"
"1492","amarawati","onion","Multiplicative"
"1493","aurangabad","onion","Multiplicative"
"1494","vaijapur","onion","Multiplicative"
"1495","lasur station","onion","Multiplicative"
"1496","gangapur","onion","Multiplicative"
"1497","kada","onion","Multiplicative"
"1498","malkapur","onion","Multiplicative"
"1499","chandrapur-ganjwad","onion","Multiplicative"
"1500","dhule","onion","Multiplicative"
"1501","shirpur","onion","Multiplicative"
"1502","jalgaon","onion","Multiplicative"
"1503","kolhapur","onion","Multiplicative"
"1504","mumbai","onion","Multiplicative"
"1505","kamthi","onion","Multiplicative"
"1506","nagpur","onion","Multiplicative"
"1507","chandvad","onion","Multiplicative"
"1508","devala","onion","Multiplicative"
"1509","dindori-vani","onion","Multiplicative"
"1510","kalvan","onion","Multiplicative"
"1511","lasalgaon","onion","Multiplicative"
"1512","malegaon","onion","Multiplicative"
"1513","manmad","onion","Multiplicative"
"1514","nandgaon","onion","Multiplicative"
"1515","nashik","onion","Multiplicative"
"1516","pimpalgaon (b)-saykheda","onion","Multiplicative"
"1517","pimpalgaon basawant","onion","Multiplicative"
"1518","satana","onion","Multiplicative"
"1519","sinner","onion","Multiplicative"
"1520","yeola","onion","Multiplicative"
"1521","dindori","onion","Multiplicative"
"1522","osmanabad","onion","Multiplicative"
"1523","baramati","onion","Multiplicative"
"1524","indapur","onion","Multiplicative"
"1525","junnar","onion","Multiplicative"
"1526","junnar (alephata)","onion","Multiplicative"
"1527","pune","onion","Multiplicative"
"1528","manchar","onion","Multiplicative"
"1529","pune-pimpri","onion","Multiplicative"
"1530","vita","onion","Multiplicative"
"1531","karad","onion","Multiplicative"
"1532","koregaon","onion","Multiplicative"
"1533","lonand","onion","Multiplicative"
"1534","phaltan","onion","Multiplicative"
"1535","satara","onion","Multiplicative"
"1536","akluj","onion","Multiplicative"
"1537","barshi","onion","Multiplicative"
"1538","kurdwadi","onion","Multiplicative"
"1539","pandharpur","onion","Multiplicative"
"1540","solapur","onion","Multiplicative"
"1541","bhivandi","onion","Multiplicative"
"1542","kalyan","onion","Multiplicative"
"1543","vasai","onion","Multiplicative"
"1544","shrirampur","orange","Multiplicative"
"1545","amarawati","orange","Multiplicative"
"1546","varud","orange","Multiplicative"
"1547","aurangabad","orange","Multiplicative"
"1548","jalgaon","orange","Multiplicative"
"1549","mumbai","orange","Multiplicative"
"1550","bhiwapur","orange","Multiplicative"
"1551","kalmeshwar","orange","Multiplicative"
"1552","kamthi","orange","Multiplicative"
"1553","katol","orange","Multiplicative"
"1554","nagpur","orange","Multiplicative"
"1555","nashik","orange","Multiplicative"
"1556","tumsar","other cereals","Multiplicative"
"1557","tumsar","other pulses","Multiplicative"
"1558","barshi","other pulses","Multiplicative"
"1559","barshi-vairag","other pulses","Multiplicative"
"1560","pune-manjri","other vegetables","Multiplicative"
"1561","bhivandi","other vegetables","Multiplicative"
"1562","akole","paddy-unhusked","Multiplicative"
"1563","pavani","paddy-unhusked","Multiplicative"
"1564","tumsar","paddy-unhusked","Multiplicative"
"1565","lakhandur","paddy-unhusked","Multiplicative"
"1566","lakhani","paddy-unhusked","Multiplicative"
"1567","brahmpuri","paddy-unhusked","Multiplicative"
"1568","chimur","paddy-unhusked","Multiplicative"
"1569","gondpimpri","paddy-unhusked","Multiplicative"
"1570","mul","paddy-unhusked","Multiplicative"
"1571","nagbhid","paddy-unhusked","Multiplicative"
"1572","savali","paddy-unhusked","Multiplicative"
"1573","sindevahi","paddy-unhusked","Multiplicative"
"1574","aheri","paddy-unhusked","Multiplicative"
"1575","armori","paddy-unhusked","Multiplicative"
"1576","armori-desaiganj","paddy-unhusked","Multiplicative"
"1577","chamorshi","paddy-unhusked","Multiplicative"
"1578","gadchiroli","paddy-unhusked","Multiplicative"
"1579","aamgaon","paddy-unhusked","Multiplicative"
"1580","arjuni morgaon","paddy-unhusked","Multiplicative"
"1581","gondiya","paddy-unhusked","Multiplicative"
"1582","goregaon","paddy-unhusked","Multiplicative"
"1583","tiroda","paddy-unhusked","Multiplicative"
"1584","kolhapur-laxmipuri","paddy-unhusked","Multiplicative"
"1585","ausa","paddy-unhusked","Multiplicative"
"1586","ahmedpur","paddy-unhusked","Multiplicative"
"1587","bhiwapur","paddy-unhusked","Multiplicative"
"1588","mandhal","paddy-unhusked","Multiplicative"
"1589","nagpur","paddy-unhusked","Multiplicative"
"1590","ramtek","paddy-unhusked","Multiplicative"
"1591","navapur","paddy-unhusked","Multiplicative"
"1592","ghoti","paddy-unhusked","Multiplicative"
"1593","umarga","paddy-unhusked","Multiplicative"
"1594","tuljapur","paddy-unhusked","Multiplicative"
"1595","karjat (raigad)","paddy-unhusked","Multiplicative"
"1596","pen","paddy-unhusked","Multiplicative"
"1597","roha","paddy-unhusked","Multiplicative"
"1598","mangaon(bhadav)","paddy-unhusked","Multiplicative"
"1599","shirala","paddy-unhusked","Multiplicative"
"1600","barshi","paddy-unhusked","Multiplicative"
"1601","barshi-vairag","paddy-unhusked","Multiplicative"
"1602","murbad","paddy-unhusked","Multiplicative"
"1603","shahapur","paddy-unhusked","Multiplicative"
"1604","vasai","paddy-unhusked","Multiplicative"
"1605","washim","paddy-unhusked","Multiplicative"
"1606","shrirampur","papai","Multiplicative"
"1607","amarawati","papai","Multiplicative"
"1608","aurangabad","papai","Multiplicative"
"1609","chandrapur","papai","Multiplicative"
"1610","jalgaon","papai","Multiplicative"
"1611","mumbai","papai","Multiplicative"
"1612","kamthi","papai","Multiplicative"
"1613","nagpur","papai","Multiplicative"
"1614","solapur","papai","Multiplicative"
"1615","kalyan","papai","Multiplicative"
"1616","kamthi","parwar","Multiplicative"
"1617","nagpur","parwar","Multiplicative"
"1618","pune","parwar","Multiplicative"
"1619","karad","pavata","Multiplicative"
"1620","vai","pavata","Multiplicative"
"1621","vadgaon peth","pavtta","Multiplicative"
"1622","pune","pavtta","Multiplicative"
"1623","pune-manjri","pavtta","Multiplicative"
"1624","pune-pimpri","pavtta","Multiplicative"
"1625","manchar","pavtta","Multiplicative"
"1626","ratanagari","pavtta","Multiplicative"
"1627","patan","pavtta","Multiplicative"
"1628","satara","pavtta","Multiplicative"
"1629","karad","pavtta","Multiplicative"
"1630","jamkhed","pigeon pea (tur)","Multiplicative"
"1631","pathardi","pigeon pea (tur)","Multiplicative"
"1632","rahuri-vambori","pigeon pea (tur)","Multiplicative"
"1633","shevgaon","pigeon pea (tur)","Multiplicative"
"1634","shevgaon-bodhegaon","pigeon pea (tur)","Multiplicative"
"1635","shrirampur","pigeon pea (tur)","Multiplicative"
"1636","ahmednagar","pigeon pea (tur)","Multiplicative"
"1637","rahata","pigeon pea (tur)","Multiplicative"
"1638","akola","pigeon pea (tur)","Multiplicative"
"1639","murtizapur","pigeon pea (tur)","Multiplicative"
"1640","telhara","pigeon pea (tur)","Multiplicative"
"1641","patur","pigeon pea (tur)","Multiplicative"
"1642","achalpur","pigeon pea (tur)","Multiplicative"
"1643","amarawati","pigeon pea (tur)","Multiplicative"
"1644","anajngaon surji","pigeon pea (tur)","Multiplicative"
"1645","chandur bajar","pigeon pea (tur)","Multiplicative"
"1646","chandur rly.","pigeon pea (tur)","Multiplicative"
"1647","daryapur","pigeon pea (tur)","Multiplicative"
"1648","dhamangaon-rly","pigeon pea (tur)","Multiplicative"
"1649","morshi","pigeon pea (tur)","Multiplicative"
"1650","varud-rajura bazar","pigeon pea (tur)","Multiplicative"
"1651","gangapur","pigeon pea (tur)","Multiplicative"
"1652","vaijapur","pigeon pea (tur)","Multiplicative"
"1653","aurangabad","pigeon pea (tur)","Multiplicative"
"1654","lasur station","pigeon pea (tur)","Multiplicative"
"1655","sillod-bharadi","pigeon pea (tur)","Multiplicative"
"1656","ambejogai","pigeon pea (tur)","Multiplicative"
"1657","beed","pigeon pea (tur)","Multiplicative"
"1658","gevrai","pigeon pea (tur)","Multiplicative"
"1659","kada","pigeon pea (tur)","Multiplicative"
"1660","kej","pigeon pea (tur)","Multiplicative"
"1661","majalgaon","pigeon pea (tur)","Multiplicative"
