"","APMC","Commodity","Year","Month","arrivals_in_qtl","min_price","max_price","modal_price","date","district_name","state_name","outlier"
"23721","rahata","bor",2015,"October",3,2500,2500,2500,"2015-10","Ahmadnagar","Maharashtra",TRUE
"2409","karad","bor",2015,"November",135,1625,2325,2325,"2015-11","Satara","Maharashtra",TRUE
"2417","barshi","bor",2015,"February",567,58,119,90,"2015-02","Solapur","Maharashtra",TRUE
"24201","barshi","bor",2015,"January",662,46,118,78,"2015-01","Solapur","Maharashtra",TRUE
"24251","barshi","bor",2015,"March",113,63,133,93,"2015-03","Solapur","Maharashtra",TRUE
"2439","kalyan","bor",2015,"September",3,2500,3500,3100,"2015-09","Thane","Maharashtra",TRUE
"25141","ramtek","bottle gourd",2015,"August",18,1950,2150,2050,"2015-08","Nagpur","Maharashtra",TRUE
"2525","ramtek","bottle gourd",2015,"July",48,1960,2560,2240,"2015-07","Nagpur","Maharashtra",TRUE
"2563","pune-manjri","bottle gourd",2015,"December",544,1208,2775,2148,"2015-12","Pune","Maharashtra",TRUE
"2564","pune-pimpri","bottle gourd",2015,"December",72,1770,2405,2191,"2015-12","Pune","Maharashtra",TRUE
"2572","junnar-otur","bottle gourd",2015,"July",34,1000,4000,2500,"2015-07","Pune","Maharashtra",TRUE
"2593","manchar","bottle gourd",2015,"October",14,2400,2400,2400,"2015-10","Pune","Maharashtra",TRUE
"2596","pune-pimpri","bottle gourd",2015,"October",87,1804,2439,2238,"2015-10","Pune","Maharashtra",TRUE
"2610","panvel","bottle gourd",2015,"October",40,2000,2300,2150,"2015-10","Raigad","Maharashtra",TRUE
"2659","murbad","bottle gourd",2015,"April",3,4200,4500,4300,"2015-04","Thane","Maharashtra",TRUE
"2661","murbad","bottle gourd",2015,"August",242,2600,2783,2383,"2015-08","Thane","Maharashtra",TRUE
"2663","murbad","bottle gourd",2015,"December",238,3780,4000,3640,"2015-12","Thane","Maharashtra",TRUE
"2668","murbad","bottle gourd",2015,"July",4586,2411,2622,2189,"2015-07","Thane","Maharashtra",TRUE
"2679","murbad","bottle gourd",2015,"October",402,2475,2650,2260,"2015-10","Thane","Maharashtra",TRUE
"2842","nashik","brinjal",2015,"December",9608,2713,4934,3692,"2015-12","Nasik","Maharashtra",TRUE
"2870","manchar","brinjal",2015,"December",214,3125,3680,3405,"2015-12","Pune","Maharashtra",TRUE
"2871","pune","brinjal",2015,"December",6812,1327,3550,3186,"2015-12","Pune","Maharashtra",TRUE
"2872","pune-manjri","brinjal",2015,"December",1105,2208,3704,3121,"2015-12","Pune","Maharashtra",TRUE
"2873","pune-pimpri","brinjal",2015,"December",72,2665,3220,3026,"2015-12","Pune","Maharashtra",TRUE
"3050","murbad","brinjal",2015,"December",236,3467,3717,3533,"2015-12","Thane","Maharashtra",TRUE
"3055","murbad","brinjal",2015,"January",45,3367,3540,3187,"2015-01","Thane","Maharashtra",TRUE
"3060","murbad","brinjal",2015,"June",339,3225,3363,3025,"2015-06","Thane","Maharashtra",TRUE
"3079","daryapur","bullack",2015,"November",39,25000,32000,29000,"2015-11","Amaravathi","Maharashtra",TRUE
"3116","amarawati","cabbage",2015,"December",409,1354,1585,1469,"2015-12","Amaravathi","Maharashtra",TRUE
"3118","amarawati","cabbage",2015,"January",27,2033,2267,2207,"2015-01","Amaravathi","Maharashtra",TRUE
"3196","kamthi","cabbage",2015,"August",174,677,2071,1481,"2015-08","Nagpur","Maharashtra",TRUE
"3198","ramtek","cabbage",2015,"August",78,1669,2008,1823,"2015-08","Nagpur","Maharashtra",TRUE
"3205","kamthi","cabbage",2015,"January",103,1029,2414,1721,"2015-01","Nagpur","Maharashtra",TRUE
"3207","kamthi","cabbage",2015,"July",147,800,2176,1600,"2015-07","Nagpur","Maharashtra",TRUE
"3209","ramtek","cabbage",2015,"July",41,1520,1900,1680,"2015-07","Nagpur","Maharashtra",TRUE
"3253","pune-manjri","cabbage",2015,"August",994,0,1000,0,"2015-08","Pune","Maharashtra",TRUE
"3418","murbad","cabbage",2015,"December",733,2618,2935,2588,"2015-12","Thane","Maharashtra",TRUE
"3424","murbad","cabbage",2015,"November",241,2200,2200,2140,"2015-11","Thane","Maharashtra",TRUE
"3426","murbad","cabbage",2015,"October",350,1856,2033,1611,"2015-10","Thane","Maharashtra",TRUE
"3525","kamthi","capsicum",2015,"July",135,3045,5045,4159,"2015-07","Nagpur","Maharashtra",TRUE
"3527","kamthi","capsicum",2015,"June",123,3350,4833,4138,"2015-06","Nagpur","Maharashtra",TRUE
"3659","murbad","capsicum",2015,"August",396,5656,5844,5411,"2015-08","Thane","Maharashtra",TRUE
"3661","murbad","capsicum",2015,"December",468,4427,4718,4391,"2015-12","Thane","Maharashtra",TRUE
"3663","murbad","capsicum",2015,"February",15,4720,4900,4540,"2015-02","Thane","Maharashtra",TRUE
"3666","murbad","capsicum",2015,"January",39,5146,5338,4931,"2015-01","Thane","Maharashtra",TRUE
"3669","murbad","capsicum",2015,"July",507,5850,6050,5650,"2015-07","Thane","Maharashtra",TRUE
"3671","murbad","capsicum",2015,"June",441,5667,5867,5389,"2015-06","Thane","Maharashtra",TRUE
"3720","amarawati","carrot",2015,"October",26,3986,4314,4088,"2015-10","Amaravathi","Maharashtra",TRUE
"3782","kamthi","carrot",2015,"November",25,2156,4444,3411,"2015-11","Nagpur","Maharashtra",TRUE
"3823","ratanagari","carrot",2015,"July",5,4000,5000,4600,"2015-07","Ratnagiri","Maharashtra",TRUE
"3854","akluj","carrot",2015,"July",24,2278,3500,3500,"2015-07","Solapur","Maharashtra",TRUE
"3894","varud","castor seed",2015,"January",3,1,1,1,"2015-01","Amaravathi","Maharashtra",TRUE
"3900","vaijapur","castor seed",2015,"July",3,2450,2450,2450,"2015-07","Aurangabad","Maharashtra",TRUE
"3934","umared","castor seed",2015,"April",4,2303,2425,2364,"2015-04","Nagpur","Maharashtra",TRUE
"3996","ramtek","chavli (pala)",2015,"June",24,15,12,13,"2015-06","Nagpur","Maharashtra",TRUE
"4006","ramtek","chavli (pala)",2015,"October",41,2786,3500,3086,"2015-10","Nagpur","Maharashtra",TRUE
"4018","pune-pimpri","chavli (pala)",2015,"June",2650,3,5,4,"2015-06","Pune","Maharashtra",TRUE
"4049","jalgaon","chavli (shenga )",2015,"October",13,3667,4333,4000,"2015-10","Jalgaon","Maharashtra",TRUE
"4055","mumbai","chavli (shenga )",2015,"January",316,4800,6800,5700,"2015-01","Mumbai","Maharashtra",TRUE
"4078","ramtek","chavli (shenga )",2015,"March",45,17,20,18,"2015-03","Nagpur","Maharashtra",TRUE
"4081","ramtek","chavli (shenga )",2015,"May",19,11,9,10,"2015-05","Nagpur","Maharashtra",TRUE
"4086","kamthi","chavli (shenga )",2015,"October",114,2365,4887,3710,"2015-10","Nagpur","Maharashtra",TRUE
"4103","pune-manjri","chavli (shenga )",2015,"February",2,0,2750,0,"2015-02","Pune","Maharashtra",TRUE
"4204","mumbai","chikoo",2015,"November",2766,1615,4675,3148,"2015-11","Mumbai","Maharashtra",TRUE
"4223","sangli-phale bhajipalam","chikoo",2015,"August",1822,1800,5167,3640,"2015-08","Sangli","Maharashtra",TRUE
"4271","akluj","chikoo",2015,"November",125,2038,3462,3462,"2015-11","Solapur","Maharashtra",TRUE
"4273","akluj","chikoo",2015,"October",124,1953,3533,3533,"2015-10","Solapur","Maharashtra",TRUE
"4275","akluj","chikoo",2015,"September",165,1900,3227,3227,"2015-09","Solapur","Maharashtra",TRUE
"4351","gadhinglaj","chillies(red)",2015,"December",1040,8222,36978,21333,"2015-12","Kolhapur","Maharashtra",TRUE
"4359","gadhinglaj","chillies(red)",2015,"November",931,7813,37438,21313,"2015-11","Kolhapur","Maharashtra",TRUE
"4361","gadhinglaj","chillies(red)",2015,"October",691,7578,35300,21556,"2015-10","Kolhapur","Maharashtra",TRUE
"4363","gadhinglaj","chillies(red)",2015,"September",87,8700,27367,20683,"2015-09","Kolhapur","Maharashtra",TRUE
"4516","rahata","cluster bean",2015,"March",2,6750,6750,6750,"2015-03","Ahmadnagar","Maharashtra",TRUE
"4642","manchar","cluster bean",2015,"December",18,5000,6655,5880,"2015-12","Pune","Maharashtra",TRUE
"4783","pune","coconut",2015,"October",6000,10,15,13,"2015-10","Pune","Maharashtra",TRUE
"4784","ulhasnagar","coconut",2015,"December",23700,258,514,386,"2015-12","Thane","Maharashtra",TRUE
"4833","kolhapur","coriander",2015,"June",336,4613,14840,9170,"2015-06","Kolhapur","Maharashtra",TRUE
"4883","kalmeshwar","coriander",2015,"September",54,5485,6238,5928,"2015-09","Nagpur","Maharashtra",TRUE
"4886","ramtek","coriander",2015,"September",91,6143,7762,6952,"2015-09","Nagpur","Maharashtra",TRUE
"4966","kej","coriander (dry)",2015,"December",10,3216,3243,3216,"2015-12","Beed","Maharashtra",TRUE
"4968","kej","coriander (dry)",2015,"November",3,2267,2700,2700,"2015-11","Beed","Maharashtra",TRUE
"4994","mumbai","coriander (dry)",2015,"April",15686,10696,22000,16348,"2015-04","Mumbai","Maharashtra",TRUE
"4997","mumbai","coriander (dry)",2015,"February",10857,14000,22182,18091,"2015-02","Mumbai","Maharashtra",TRUE
"4998","mumbai","coriander (dry)",2015,"January",8597,12080,24000,18160,"2015-01","Mumbai","Maharashtra",TRUE
"5000","mumbai","coriander (dry)",2015,"June",6481,10014,22068,16039,"2015-06","Mumbai","Maharashtra",TRUE
"5001","mumbai","coriander (dry)",2015,"March",18955,12364,20455,16409,"2015-03","Mumbai","Maharashtra",TRUE
"5002","mumbai","coriander (dry)",2015,"May",14742,12000,24667,18333,"2015-05","Mumbai","Maharashtra",TRUE
"5009","ramtek","coriander (dry)",2015,"April",7,1200,1200,1200,"2015-04","Nagpur","Maharashtra",TRUE
"5023","ramtek","coriander (dry)",2015,"March",6,3180,3030,3105,"2015-03","Nagpur","Maharashtra",TRUE
"5051","pune","coriander (dry)",2015,"December",766,11267,17667,15712,"2015-12","Pune","Maharashtra",TRUE
"5052","pune-pimpri","coriander (dry)",2015,"December",360,10800,17600,15800,"2015-12","Pune","Maharashtra",TRUE
"5055","pune","coriander (dry)",2015,"July",404,13091,17636,15955,"2015-07","Pune","Maharashtra",TRUE
"5089","kalyan","coriander (dry)",2015,"January",3,21000,23000,22000,"2015-01","Thane","Maharashtra",TRUE
"5155","fulambri","cotton",2015,"December",26871,4421,4669,4564,"2015-12","Aurangabad","Maharashtra",TRUE
"5160","fulambri","cotton",2015,"January",1834,3913,3684,3403,"2015-01","Aurangabad","Maharashtra",TRUE
"5250","hingoli","cotton",2015,"December",765,4707,4769,4769,"2015-12","Hingoli","Maharashtra",TRUE
"52751","amalner","cotton",2015,"December",155,4000,4600,4600,"2015-12","Jalgaon","Maharashtra",TRUE
"5315","jafrabad","cotton",2015,"May",20,1000,1200,1130,"2015-05","Jalna","Maharashtra",TRUE
"5344","narkhed","cotton",2015,"February",29324,3893,3701,3471,"2015-02","Nagpur","Maharashtra",TRUE
"5353","bhiwapur","cotton",2015,"June",45,1850,3400,3300,"2015-06","Nagpur","Maharashtra",TRUE
"5358","narkhed","cotton",2015,"March",12335,3989,3830,3489,"2015-03","Nagpur","Maharashtra",TRUE
"5364","narkhed","cotton",2015,"May",2597,3958,4396,3446,"2015-05","Nagpur","Maharashtra",TRUE
"5370","narkhed","cotton",2015,"November",13167,3931,4056,2870,"2015-11","Nagpur","Maharashtra",TRUE
"5376","narkhed","cotton",2015,"October",4029,4056,4283,2367,"2015-10","Nagpur","Maharashtra",TRUE
"5395","kinwat","cotton",2015,"March",710,3405,3524,3464,"2015-03","Nanded","Maharashtra",TRUE
"5397","kinwat","cotton",2015,"May",225,3400,3600,3500,"2015-05","Nanded","Maharashtra",TRUE
"5452","atpadi","cotton",2015,"July",3,4500,5500,5000,"2015-07","Sangli","Maharashtra",TRUE
"5471","ashti (wardha)","cotton",2015,"January",3025,4598,4643,4628,"2015-01","Wardha","Maharashtra",TRUE
"5546","maregaon","cotton",2015,"November",92583,3098,3367,3180,"2015-11","Yewatmal","Maharashtra",TRUE
"5594","shirpur","cowpea",2015,"October",8,7125,7767,7767,"2015-10","Dhule","Maharashtra",TRUE
"5624","sinner","cowpea",2015,"December",1,1500,1500,1500,"2015-12","Nasik","Maharashtra",TRUE
"5635","devala","cowpea",2015,"September",1,1000,1000,1000,"2015-09","Nasik","Maharashtra",TRUE
"5773","kamthi","cucumber",2015,"January",34,1882,3773,2873,"2015-01","Nagpur","Maharashtra",TRUE
"5779","kalmeshwar","cucumber",2015,"March",3169,3750,3900,3875,"2015-03","Nagpur","Maharashtra",TRUE
"5800","ghoti","cucumber",2015,"January",3,3500,3500,3500,"2015-01","Nasik","Maharashtra",TRUE
"5834","pune-pimpri","cucumber",2015,"January",8,2433,2433,2433,"2015-01","Pune","Maharashtra",TRUE
"5888","islampur","cucumber",2015,"December",95,80,100,90,"2015-12","Sangli","Maharashtra",TRUE
"5902","satara","cucumber",2015,"February",80,2114,2864,2443,"2015-02","Satara","Maharashtra",TRUE
"5912","patan","cucumber",2015,"June",1110,114,140,127,"2015-06","Satara","Maharashtra",TRUE
"5935","barshi","cucumber",2015,"April",138,30,70,60,"2015-04","Solapur","Maharashtra",TRUE
"5939","barshi","cucumber",2015,"August",132,50,106,82,"2015-08","Solapur","Maharashtra",TRUE
"5942","barshi","cucumber",2015,"December",111,54,100,69,"2015-12","Solapur","Maharashtra",TRUE
"5945","barshi","cucumber",2015,"February",135,55,110,75,"2015-02","Solapur","Maharashtra",TRUE
"5949","barshi","cucumber",2015,"January",96,95,131,102,"2015-01","Solapur","Maharashtra",TRUE
"5950","mangalwedha","cucumber",2015,"January",60,1513,3292,2538,"2015-01","Solapur","Maharashtra",TRUE
"5953","barshi","cucumber",2015,"July",135,40,80,60,"2015-07","Solapur","Maharashtra",TRUE
"5956","barshi","cucumber",2015,"June",87,51,107,85,"2015-06","Solapur","Maharashtra",TRUE
"5960","barshi","cucumber",2015,"March",167,43,99,57,"2015-03","Solapur","Maharashtra",TRUE
"5964","barshi","cucumber",2015,"May",63,48,98,70,"2015-05","Solapur","Maharashtra",TRUE
"5968","barshi","cucumber",2015,"November",82,60,102,73,"2015-11","Solapur","Maharashtra",TRUE
"5971","barshi","cucumber",2015,"October",99,50,108,76,"2015-10","Solapur","Maharashtra",TRUE
"5974","barshi","cucumber",2015,"September",102,50,104,84,"2015-09","Solapur","Maharashtra",TRUE
"6085","kamthi","custard apple",2015,"October",76,3075,9475,6595,"2015-10","Nagpur","Maharashtra",TRUE
"6089","pune","custard apple",2015,"July",240,2167,11667,6333,"2015-07","Pune","Maharashtra",TRUE
"6125","ramtek","dhemse",2015,"April",29,9,6,7,"2015-04","Nagpur","Maharashtra",TRUE
"6136","kamthi","dhemse",2015,"March",7,2943,5714,4329,"2015-03","Nagpur","Maharashtra",TRUE
"6163","pune-manjri","double bee",2015,"February",2,0,3000,0,"2015-02","Pune","Maharashtra",TRUE
"6168","pune-manjri","double bee",2015,"March",2,0,3725,0,"2015-03","Pune","Maharashtra",TRUE
"6178","mumbai","elephant root",2015,"June",9650,3454,3777,3615,"2015-06","Mumbai","Maharashtra",TRUE
"6200","kalyan","elephant root",2015,"July",170,2888,3294,3056,"2015-07","Thane","Maharashtra",TRUE
"6201","kalyan","elephant root",2015,"June",54,3472,3906,3683,"2015-06","Thane","Maharashtra",TRUE
"6302","aurangabad","flower",2015,"June",577,2400,3315,2855,"2015-06","Aurangabad","Maharashtra",TRUE
"6326","jalgaon","flower",2015,"July",297,2183,3246,2654,"2015-07","Jalgaon","Maharashtra",TRUE
"6327","jalgaon","flower",2015,"June",244,2398,3487,2957,"2015-06","Jalgaon","Maharashtra",TRUE
"6424","osmanabad","flower",2015,"July",143,1892,3822,2853,"2015-07","Osmanabad","Maharashtra",TRUE
"6425","osmanabad","flower",2015,"May",79,2135,3885,3000,"2015-05","Osmanabad","Maharashtra",TRUE
"6492","ratanagari","flower",2015,"April",510,2393,3107,2754,"2015-04","Ratnagiri","Maharashtra",TRUE
"6494","ratanagari","flower",2015,"December",1145,2568,3273,2941,"2015-12","Ratnagiri","Maharashtra",TRUE
"6500","ratanagari","flower",2015,"May",954,2316,3000,2658,"2015-05","Ratnagiri","Maharashtra",TRUE
"6601","ratanagari","french bean",2015,"May",10,7000,8000,7500,"2015-05","Ratnagiri","Maharashtra",TRUE
"6634","amarawati","garlic",2015,"December",1240,8933,13667,11333,"2015-12","Amaravathi","Maharashtra",TRUE
"6654","chandrapur-ganjwad","garlic",2015,"December",654,13000,17556,15167,"2015-12","Chandrapur","Maharashtra",TRUE
"6661","chandrapur-ganjwad","garlic",2015,"November",75,9100,13000,11167,"2015-11","Chandrapur","Maharashtra",TRUE
"6678","kolhapur","garlic",2015,"December",3564,8409,19182,14545,"2015-12","Kolhapur","Maharashtra",TRUE
"6703","kamthi","garlic",2015,"December",18,5333,25333,16333,"2015-12","Nagpur","Maharashtra",TRUE
"6705","nagpur","garlic",2015,"December",8262,9229,14125,12898,"2015-12","Nagpur","Maharashtra",TRUE
"6724","nagpur","garlic",2015,"November",6982,6822,12667,11306,"2015-11","Nagpur","Maharashtra",TRUE
"6745","junnar","garlic",2015,"December",10,12000,16000,13000,"2015-12","Pune","Maharashtra",TRUE
"6746","pune","garlic",2015,"December",16052,7773,15273,13023,"2015-12","Pune","Maharashtra",TRUE
"6805","akluj","garlic",2015,"December",72,8789,11816,11816,"2015-12","Solapur","Maharashtra",TRUE
"6827","kalyan","garlic",2015,"December",63,10167,13110,11814,"2015-12","Thane","Maharashtra",TRUE
"6846","rahata","ghevda",2015,"June",4,6000,6000,6000,"2015-06","Ahmadnagar","Maharashtra",TRUE
"6888","pune-manjri","ghevda",2015,"January",21,250,2969,281,"2015-01","Pune","Maharashtra",TRUE
"6895","pune","ghevda",2015,"June",3996,3729,11125,6656,"2015-06","Pune","Maharashtra",TRUE
"6900","pune","ghevda",2015,"May",1062,3700,7425,5563,"2015-05","Pune","Maharashtra",TRUE
"6950","barshi","ghevda",2015,"January",79,100,185,135,"2015-01","Solapur","Maharashtra",TRUE
"6960","murbad","ghevda",2015,"August",219,5340,5520,5200,"2015-08","Thane","Maharashtra",TRUE
"69751","nira-saswad","ghevda seed",2015,"December",15,4750,6650,5700,"2015-12","Pune","Maharashtra",TRUE
"6976","indapur-bhigwan","ghevda seed",2015,"May",1,1800,1800,1800,"2015-05","Pune","Maharashtra",TRUE
"7065","murbad","ghosali(bhaji)",2015,"December",452,4642,5075,4742,"2015-12","Thane","Maharashtra",TRUE
"7077","murbad","ghosali(bhaji)",2015,"May",30,5450,5640,5260,"2015-05","Thane","Maharashtra",TRUE
"7183","kamthi","ginger (fresh)",2015,"April",58,3938,6375,5156,"2015-04","Nagpur","Maharashtra",TRUE
"7185","ramtek","ginger (fresh)",2015,"April",12,1200,1360,1263,"2015-04","Nagpur","Maharashtra",TRUE
"7196","kamthi","ginger (fresh)",2015,"July",33,3000,7182,5191,"2015-07","Nagpur","Maharashtra",TRUE
"7199","kamthi","ginger (fresh)",2015,"June",53,3231,7154,5215,"2015-06","Nagpur","Maharashtra",TRUE
"7201","ramtek","ginger (fresh)",2015,"June",15,50,40,45,"2015-06","Nagpur","Maharashtra",TRUE
"7204","ramtek","ginger (fresh)",2015,"March",3,40,50,45,"2015-03","Nagpur","Maharashtra",TRUE
"7251","ratanagari","ginger (fresh)",2015,"February",30,4500,6000,5250,"2015-02","Ratnagiri","Maharashtra",TRUE
"7254","ratanagari","ginger (fresh)",2015,"June",58,4250,6000,5200,"2015-06","Ratnagiri","Maharashtra",TRUE
"7296","patan","ginger (fresh)",2015,"May",214,1150,1450,1300,"2015-05","Satara","Maharashtra",TRUE
"7333","umarga","gr.nut kernels",2015,"January",2,2560,2560,2560,"2015-01","Osmanabad","Maharashtra",TRUE
"7334","kalamb (os)","gr.nut kernels",2015,"June",3,4250,4250,4250,"2015-06","Osmanabad","Maharashtra",TRUE
"7348","kurdwadi","gr.nut kernels",2015,"January",3,3900,3900,3900,"2015-01","Solapur","Maharashtra",TRUE
"73501","kurdwadi","gr.nut kernels",2015,"June",14,3500,3825,3663,"2015-06","Solapur","Maharashtra",TRUE
"7351","kurdwadi","gr.nut kernels",2015,"May",3,3000,3000,3000,"2015-05","Solapur","Maharashtra",TRUE
"7648","amarawati","gram",2015,"November",135,4806,10403,10347,"2015-11","Amaravathi","Maharashtra",TRUE
"7655","varud-rajura bazar","gram",2015,"November",13,5281,5729,5430,"2015-11","Amaravathi","Maharashtra",TRUE
"7670","varud-rajura bazar","gram",2015,"September",44,5158,5683,5446,"2015-09","Amaravathi","Maharashtra",TRUE
"7691","vaijapur","gram",2015,"January",15,2145,2226,2158,"2015-01","Aurangabad","Maharashtra",TRUE
"7873","jalgaon jamod-aasalgaon","gram",2015,"January",25,2150,2400,2275,"2015-01","Buldhana","Maharashtra",TRUE
"8175","kolhapur-laxmipuri","gram",2015,"December",190,5361,7778,6633,"2015-12","Kolhapur","Maharashtra",TRUE
"8178","kolhapur-laxmipuri","gram",2015,"November",160,5353,7716,6305,"2015-11","Kolhapur","Maharashtra",TRUE
"8179","kolhapur-laxmipuri","gram",2015,"October",169,5352,7629,6214,"2015-10","Kolhapur","Maharashtra",TRUE
"8566","pathari","gram",2015,"August",2,3651,4101,0,"2015-08","Parbhani","Maharashtra",TRUE
"8576","pathari","gram",2015,"February",20,3168,3395,863,"2015-02","Parbhani","Maharashtra",TRUE
"8582","pathari","gram",2015,"January",28,2567,2789,1784,"2015-01","Parbhani","Maharashtra",TRUE
"8586","pathari","gram",2015,"July",11,3400,3967,1267,"2015-07","Parbhani","Maharashtra",TRUE
"8634","pune","gram",2015,"August",1556,5933,6375,6206,"2015-08","Pune","Maharashtra",TRUE
"8642","pune","gram",2015,"December",1873,5367,5860,5705,"2015-12","Pune","Maharashtra",TRUE
"8643","pune-pimpri","gram",2015,"December",565,5333,5783,5667,"2015-12","Pune","Maharashtra",TRUE
"8676","pune","gram",2015,"November",1046,5290,5890,5648,"2015-11","Pune","Maharashtra",TRUE
"8683","pune","gram",2015,"October",1962,5353,5847,5673,"2015-10","Pune","Maharashtra",TRUE
"8689","pune","gram",2015,"September",1075,5300,5760,5590,"2015-09","Pune","Maharashtra",TRUE
"8803","kurdwadi-modnimb","gram",2015,"January",20,2087,2522,2290,"2015-01","Solapur","Maharashtra",TRUE
"8875","kalyan","gram",2015,"August",3,8000,10000,9000,"2015-08","Thane","Maharashtra",TRUE
"8880","kalyan","gram",2015,"June",15,5300,6100,5700,"2015-06","Thane","Maharashtra",TRUE
"8883","kalyan","gram",2015,"September",9,4733,6167,5433,"2015-09","Thane","Maharashtra",TRUE
"8938","risod","gram",2015,"December",1805,5612,6800,6187,"2015-12","Wasim","Maharashtra",TRUE
"9006","digras","gram",2015,"February",55,2819,342,335,"2015-02","Yewatmal","Maharashtra",TRUE
"9010","aarni","gram",2015,"January",175,2000,2200,2100,"2015-01","Yewatmal","Maharashtra",TRUE
"9011","digras","gram",2015,"January",44,3758,195,179,"2015-01","Yewatmal","Maharashtra",TRUE
"9100","mumbai","grapes",2015,"November",1180,5000,8647,6824,"2015-11","Mumbai","Maharashtra",TRUE
"9135","kalyan","grapes",2015,"December",39,6192,9346,7977,"2015-12","Thane","Maharashtra",TRUE
"9136","kalyan","grapes",2015,"January",3,6000,8000,7000,"2015-01","Thane","Maharashtra",TRUE
"9167","mumbai","green-peas",2015,"October",15350,7280,9300,8384,"2015-10","Mumbai","Maharashtra",TRUE
"9211","pune","green-peas",2015,"October",813,6750,10650,9300,"2015-10","Pune","Maharashtra",TRUE
"9214","ratanagari","green-peas",2015,"April",15,8000,9000,8500,"2015-04","Ratnagiri","Maharashtra",TRUE
"9249","satara","green-peas",2015,"October",28,8453,10733,9593,"2015-10","Satara","Maharashtra",TRUE
"9263","kalyan","green-peas",2015,"October",112,7113,9219,8441,"2015-10","Thane","Maharashtra",TRUE
"9394","ramtek","green chilli",2015,"March",59,19,22,19,"2015-03","Nagpur","Maharashtra",TRUE
"9398","ramtek","green chilli",2015,"May",9,47,38,42,"2015-05","Nagpur","Maharashtra",TRUE
"9528","patan","green chilli",2015,"May",319,158,222,190,"2015-05","Satara","Maharashtra",TRUE
"9551","barshi","green chilli",2015,"December",103,113,223,177,"2015-12","Solapur","Maharashtra",TRUE
"9579","barshi","green chilli",2015,"November",71,130,200,161,"2015-11","Solapur","Maharashtra",TRUE
"9583","barshi","green chilli",2015,"October",96,100,200,150,"2015-10","Solapur","Maharashtra",TRUE
"9706","anajngaon surji","green gram",2015,"August",4,4500,4500,4500,"2015-08","Amaravathi","Maharashtra",TRUE
"9711","nandgaon khandeshwar","green gram",2015,"December",3921,4152,4819,4485,"2015-12","Amaravathi","Maharashtra",TRUE
"9825","bhandara","green gram",2015,"August",9,3940,4300,4130,"2015-08","Bhandara","Maharashtra",TRUE
"9833","bhandara","green gram",2015,"September",3,4567,4567,4567,"2015-09","Bhandara","Maharashtra",TRUE
"9914","jalgaon jamod-aasalgaon","green gram",2015,"October",20,9500,10000,9750,"2015-10","Buldhana","Maharashtra",TRUE
"10001","raver","green gram",2015,"April",1,4200,4200,4200,"2015-04","Jalgaon","Maharashtra",TRUE
"10048","raver","green gram",2015,"September",7,9550,9550,9550,"2015-09","Jalgaon","Maharashtra",TRUE
"10092","kolhapur-laxmipuri","green gram",2015,"November",256,9190,10019,9610,"2015-11","Kolhapur","Maharashtra",TRUE
"10093","kolhapur-laxmipuri","green gram",2015,"October",247,9350,10092,9696,"2015-10","Kolhapur","Maharashtra",TRUE
"10141","umared","green gram",2015,"August",1,3505,3505,3505,"2015-08","Nagpur","Maharashtra",TRUE
"10160","katol","green gram",2015,"September",10,4031,4525,4375,"2015-09","Nagpur","Maharashtra",TRUE
"10161","umared","green gram",2015,"September",2,4711,4711,4711,"2015-09","Nagpur","Maharashtra",TRUE
"10178","bhokar","green gram",2015,"June",1,4700,4700,4700,"2015-06","Nanded","Maharashtra",TRUE
"10245","nandgaon","green gram",2015,"December",3,2500,6400,4000,"2015-12","Nasik","Maharashtra",TRUE
"10266","manmad","green gram",2015,"June",3,3000,8152,3000,"2015-06","Nasik","Maharashtra",TRUE
"10332","murum","green gram",2015,"October",551,7496,8644,11809,"2015-10","Osmanabad","Maharashtra",TRUE
"10345","pathari","green gram",2015,"August",8,6100,7098,3150,"2015-08","Parbhani","Maharashtra",TRUE
"10359","pathari","green gram",2015,"January",2,6851,7361,0,"2015-01","Parbhani","Maharashtra",TRUE
"10450","vaduj","green gram",2015,"July",6,4000,4100,4200,"2015-07","Satara","Maharashtra",TRUE
"10452","vaduj","green gram",2015,"June",10,4100,4200,4300,"2015-06","Satara","Maharashtra",TRUE
"10462","dudhani","green gram",2015,"August",54,7358,7747,15452,"2015-08","Solapur","Maharashtra",TRUE
"10531","mangrulpeer","green gram",2015,"July",15,4440,4600,4590,"2015-07","Wasim","Maharashtra",TRUE
"10565","umarkhed-danki","green gram",2015,"February",753,2900,3200,3000,"2015-02","Yewatmal","Maharashtra",TRUE
"10568","digras","green gram",2015,"June",9,5783,2390,2378,"2015-06","Yewatmal","Maharashtra",TRUE
"10571","digras","green gram",2015,"May",1,6950,0,0,"2015-05","Yewatmal","Maharashtra",TRUE
"10580","yeotmal","green gram",2015,"October",2,9797,9797,9797,"2015-10","Yewatmal","Maharashtra",TRUE
"10673","kalyan","green peas (dry)",2015,"June",6,3600,7000,6300,"2015-06","Thane","Maharashtra",TRUE
"10894","ramtek","ground nut pods (dry)",2015,"March",6,8,10,9,"2015-03","Nagpur","Maharashtra",TRUE
"10993","pathari","ground nut pods (dry)",2015,"May",29,3325,3867,0,"2015-05","Parbhani","Maharashtra",TRUE
